arm,stt,category,n_gold,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@30,recall@30,precision@30,f1@30,ndcg@30,n_retrieved@50,recall@50,precision@50,f1@50,ndcg@50,n_retrieved@70,recall@70,precision@70,f1@70,ndcg@70,n_retrieved@100,recall@100,precision@100,f1@100,ndcg@100,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense,1,ooc,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,1.741
dense,10,unparseable,1,12,1.0,0.08333333333333333,0.15384615384615385,0.27023815442731974,20,1.0,0.05,0.09523809523809523,0.27023815442731974,30,1.0,0.03333333333333333,0.06451612903225806,0.27023815442731974,50,1.0,0.02,0.0392156862745098,0.27023815442731974,53,1.0,0.018867924528301886,0.037037037037037035,0.27023815442731974,53,1.0,0.018867924528301886,0.037037037037037035,0.27023815442731974,53,1.0,0.018867924528301886,0.037037037037037035,0.27023815442731974,0.0,0.08333333333333333,0.034
dense,100,in_corpus,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.09472348220010487,50,0.6666666666666666,0.04,0.07547169811320754,0.1862136036210636,69,0.6666666666666666,0.028985507246376812,0.05555555555555555,0.1862136036210636,69,0.6666666666666666,0.028985507246376812,0.05555555555555555,0.1862136036210636,69,0.6666666666666666,0.028985507246376812,0.05555555555555555,0.1862136036210636,0.0,0.03333333333333333,0.049
dense,101,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0,0.0,0.05
dense,102,in_corpus,1,12,0.0,0.0,0.0,0.0,20,1.0,0.05,0.09523809523809523,0.23981246656813146,30,1.0,0.03333333333333333,0.06451612903225806,0.23981246656813146,50,1.0,0.02,0.0392156862745098,0.23981246656813146,64,1.0,0.015625,0.03076923076923077,0.23981246656813146,64,1.0,0.015625,0.03076923076923077,0.23981246656813146,64,1.0,0.015625,0.03076923076923077,0.23981246656813146,0.0,0.058823529411764705,0.031
dense,103,in_corpus,5,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,63,0.0,0.0,0.0,0.0,63,0.0,0.0,0.0,0.0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.036
dense,104,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.5,20,1.0,0.05,0.09523809523809523,0.5,30,1.0,0.03333333333333333,0.06451612903225806,0.5,50,1.0,0.02,0.0392156862745098,0.5,51,1.0,0.0196078431372549,0.038461538461538464,0.5,51,1.0,0.0196078431372549,0.038461538461538464,0.5,51,1.0,0.0196078431372549,0.038461538461538464,0.5,0.0,0.3333333333333333,0.063
dense,105,unparseable,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,0.0,0.042
dense,106,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,1.0,0.03333333333333333,0.06451612903225806,0.20801459767650948,50,1.0,0.02,0.0392156862745098,0.20801459767650948,60,1.0,0.016666666666666666,0.03278688524590164,0.20801459767650948,60,1.0,0.016666666666666666,0.03278688524590164,0.20801459767650948,60,1.0,0.016666666666666666,0.03278688524590164,0.20801459767650948,0.0,0.037037037037037035,0.041
dense,107,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,1.0,0.03333333333333333,0.06451612903225806,0.22106472945750374,50,1.0,0.02,0.0392156862745098,0.22106472945750374,61,1.0,0.01639344262295082,0.03225806451612903,0.22106472945750374,61,1.0,0.01639344262295082,0.03225806451612903,0.22106472945750374,61,1.0,0.01639344262295082,0.03225806451612903,0.22106472945750374,0.0,0.045454545454545456,0.056
